Address,longitude,latitude,precinct,rank,Action_rank,cboard,InAction_Rate,total,Median_Minutes,Mean_Minutes,min0->5,min5->30,min30->60,min60->360,min360+,Response_Miss,Response_No-Action,Response_Action,Response_Summon
1950 Lafayette Avenue,-73.85735590516272,40.822126040600146,43,High,High,209.0,0.78,55.0,139.92,223.32,0.0,10.0,4.0,30.0,11.0,6.0,37.0,5.0,7.0
2450 Grand Concourse,-73.89784919304213,40.86111920072789,46,High,High,205.0,0.91,54.0,133.82,304.94,2.0,8.0,6.0,25.0,13.0,13.0,36.0,5.0,0.0
21-23 49 Avenue,-73.94866915888787,40.74242438317093,108,High,Low,402.0,0.21,52.0,87.51,110.67,1.0,8.0,11.0,31.0,1.0,1.0,10.0,35.0,6.0
180 Jay Street,-73.98688710811888,40.6991474846209,84,High,High,302.0,0.8,59.0,85.58,108.17,0.0,7.0,12.0,39.0,1.0,25.0,22.0,8.0,4.0
25-50 Crescent Street,-73.92224006649279,40.77215438219322,114,High,High,401.0,0.84,61.0,82.05,149.95,0.0,9.0,14.0,34.0,4.0,48.0,3.0,9.0,1.0
9 Bond Street,-73.98316415846521,40.68937562480905,84,High,High,302.0,0.78,98.0,80.95,92.38,0.0,19.0,20.0,59.0,0.0,39.0,37.0,20.0,2.0
333 Adams Street,-73.98890401269871,40.693597776605344,84,High,Medium,302.0,0.68,219.0,75.5,83.14,11.0,37.0,45.0,126.0,0.0,86.0,64.0,68.0,1.0
343 Adams Street,-73.9889148583962,40.69343309153355,84,High,Medium,302.0,0.65,537.0,73.43,79.76,36.0,82.0,107.0,312.0,0.0,201.0,146.0,183.0,7.0
200 Schermerhorn Street,-73.98567396820371,40.688821521050095,84,High,Medium,302.0,0.6,68.0,73.32,88.69,0.0,15.0,11.0,41.0,1.0,17.0,24.0,21.0,6.0
355 Adams Street,-73.98892210296869,40.69323821365493,84,High,Medium,302.0,0.65,900.0,71.82,74.8,62.0,163.0,161.0,514.0,0.0,317.0,266.0,308.0,9.0
357 Adams Street,-73.98892210844116,40.69320527643084,84,High,Medium,302.0,0.71,533.0,71.48,79.36,27.0,106.0,91.0,309.0,0.0,180.0,196.0,154.0,3.0
